dsa,dbms,os,cn,oops,system_design,aptitude,web_dev,overall_accuracy,attempts,improvement_rate,learning_velocity,consistency_score,weak_topic_count,readiness_score,readiness_category
48.4,68.8,63.1,41.1,50.5,70.4,71.5,53.5,58.4,1,-3.9,12.7,65.5,4,62.2,1
72.0,51.6,46.9,80.9,59.6,50.0,55.8,57.8,59.3,14,38.4,8.8,65.3,6,65.6,1
59.6,78.1,80.7,75.8,60.4,36.3,75.2,72.6,67.3,4,6.2,10.3,55.8,2,70.7,1
19.6,44.8,51.3,26.7,36.5,39.5,60.0,23.2,37.7,9,24.7,8.9,57.7,7,37.3,0
100.0,93.8,81.0,66.2,100.0,84.0,88.3,94.3,88.4,15,39.3,9.7,66.1,0,100.0,2
29.6,42.0,32.8,27.4,20.0,45.6,34.4,43.1,34.4,2,2.1,11.8,73.7,8,32.8,0
82.9,68.9,60.4,74.7,62.9,37.6,88.3,72.6,68.5,2,-0.5,11.8,53.3,1,81.0,2
29.1,43.5,52.4,47.9,41.9,43.8,62.8,63.8,48.1,1,-4.7,11.3,65.7,6,38.1,0
55.2,42.5,46.8,52.2,39.2,40.0,55.5,43.1,46.8,3,4.4,11.0,80.0,8,45.5,0
60.7,83.0,71.0,63.3,93.0,83.5,83.8,53.8,74.0,4,7.7,11.2,58.6,1,79.8,2
43.9,73.5,53.7,79.1,100.0,70.9,71.5,64.9,69.7,3,3.3,11.7,49.8,2,71.3,1
31.5,42.6,29.8,48.4,28.7,10.0,20.0,42.3,31.7,2,0.8,10.9,62.0,8,26.6,0
60.3,56.2,59.3,59.6,74.0,59.5,52.2,55.0,59.5,1,-3.8,12.7,80.6,6,62.6,1
55.8,47.6,69.9,50.4,64.8,24.8,61.4,48.1,52.8,3,4.5,11.3,58.3,5,56.2,0
39.3,44.4,26.5,51.7,53.6,39.0,35.8,25.6,39.5,1,-1.1,14.0,69.1,8,38.6,0
61.0,56.9,45.9,61.4,63.4,93.4,74.9,66.2,65.4,7,9.6,8.3,58.2,2,75.1,1
39.6,36.2,45.1,48.2,43.7,53.8,24.1,39.3,41.2,1,-0.8,14.4,73.4,8,35.8,0
56.6,42.1,53.9,54.2,69.0,52.3,40.6,37.8,50.8,2,-1.4,10.5,69.3,7,52.9,0
48.9,45.3,29.0,64.7,62.3,34.8,57.5,33.1,46.9,1,-1.8,14.0,58.7,6,45.3,0
50.2,53.9,32.4,69.4,54.2,64.6,38.6,46.3,51.2,6,15.6,10.1,63.1,6,55.5,0
36.8,45.9,40.3,64.6,38.6,51.4,45.3,59.0,47.7,2,3.1,12.9,70.2,7,43.2,0
75.1,77.7,66.3,60.6,60.6,56.8,69.4,62.6,66.1,1,-1.4,15.0,77.8,1,77.4,1
32.7,39.6,53.9,31.2,20.0,24.9,29.7,19.3,31.4,3,5.2,10.6,66.1,8,30.1,0
56.3,95.6,47.4,72.4,68.8,41.4,67.4,59.6,63.6,9,26.1,10.0,49.8,4,69.7,1
54.1,54.1,54.9,48.6,50.5,48.1,27.8,48.9,48.4,9,13.9,7.2,73.8,8,46.1,0
55.3,35.0,29.4,53.4,56.1,41.3,71.8,35.3,47.2,1,-0.2,15.0,57.2,7,46.9,0
52.3,59.3,64.7,52.0,60.7,56.4,58.3,46.1,56.2,5,5.8,8.9,82.4,6,56.5,0
59.1,44.3,62.9,64.2,33.2,52.5,42.8,53.6,51.6,1,-0.3,15.0,67.7,6,55.8,0
37.2,46.1,53.4,66.2,55.1,39.8,79.1,37.1,51.8,1,-4.7,11.5,55.1,6,47.0,0
42.9,57.3,47.3,54.6,61.7,58.4,42.4,64.9,53.7,3,4.0,10.9,74.4,6,50.2,0
50.4,36.9,57.9,35.9,34.2,55.1,32.2,24.5,40.9,1,-2.4,13.1,64.0,8,39.7,0
69.0,53.2,52.7,40.5,48.2,48.5,62.6,30.4,50.6,6,11.9,8.9,64.0,6,55.3,0
52.4,39.4,61.0,61.6,53.2,62.7,44.7,59.7,54.3,10,17.7,7.9,74.3,5,56.2,0
33.9,43.6,18.3,37.0,27.5,31.7,33.7,21.0,30.8,1,-2.5,12.4,75.1,8,32.3,0
15.0,15.0,35.2,21.1,20.0,26.6,23.1,24.0,22.5,1,-2.1,12.8,80.4,8,20.2,0
37.9,47.6,41.2,34.2,46.8,55.6,33.4,51.3,43.5,3,5.8,11.4,75.7,8,42.7,0
71.3,50.8,61.3,59.4,74.4,74.0,63.8,51.1,63.3,3,3.5,10.8,71.7,3,70.5,1
86.1,85.4,80.8,91.6,76.8,84.7,89.0,69.6,83.0,9,24.6,10.7,78.8,0,98.6,2
65.2,50.6,64.5,53.4,44.9,43.1,51.9,57.5,53.9,8,15.8,8.3,75.6,6,56.2,0
46.3,38.0,27.7,32.7,27.8,27.6,54.0,36.4,36.3,4,3.5,8.0,71.1,8,31.0,0
10.0,40.9,26.3,15.0,25.2,22.0,20.0,28.2,23.4,2,-0.3,9.8,72.2,8,20.2,0
35.9,60.1,60.2,43.3,68.7,58.2,59.5,50.5,54.6,6,15.9,10.1,68.2,5,57.8,0
81.1,78.6,73.7,88.2,92.0,61.9,82.6,67.6,78.2,1,-4.7,12.7,69.7,0,89.7,2
10.7,38.2,32.2,17.6,30.3,13.6,40.7,20.0,25.4,12,21.4,6.3,65.8,8,21.5,0
35.6,71.2,43.8,72.7,42.3,49.7,43.7,44.5,50.4,1,-3.3,12.6,58.6,6,46.7,0
74.3,67.2,55.2,59.0,40.0,51.4,44.2,47.9,54.9,3,1.2,9.7,65.3,6,58.0,0
37.1,42.0,52.4,24.8,35.1,59.8,37.2,44.1,41.6,1,-3.2,12.4,67.6,8,37.6,0
76.8,83.1,89.6,74.6,48.8,29.2,68.9,63.3,66.8,2,-1.3,11.2,41.2,2,76.3,1
66.3,71.8,45.9,72.5,74.4,62.3,74.7,66.7,66.8,4,5.2,10.2,71.5,1,80.6,2
24.7,24.3,19.1,29.9,46.9,23.9,33.0,32.8,29.3,5,4.4,7.1,74.3,8,26.1,0
40.1,59.1,58.1,72.7,56.7,64.9,63.2,81.3,62.0,6,13.5,9.9,63.7,4,67.9,1
66.4,48.4,63.8,55.8,67.8,52.8,82.0,46.9,60.5,4,9.4,11.5,64.7,4,67.6,1
67.3,26.2,47.6,59.4,39.5,36.5,50.2,48.1,46.8,2,0.9,11.7,61.2,7,48.3,0
29.9,29.2,32.2,39.6,20.0,47.0,32.6,25.3,32.0,8,17.1,8.0,75.1,8,34.4,0
73.5,74.6,56.9,68.4,73.4,82.6,78.4,66.4,71.8,6,13.5,10.5,76.4,1,87.0,2
16.8,38.4,29.0,55.0,39.5,30.2,20.0,26.2,31.9,1,-2.4,12.8,63.4,8,29.6,0
35.2,29.4,53.9,57.9,60.9,37.7,26.5,51.6,44.1,7,20.6,9.8,59.7,7,42.0,0
65.6,36.3,62.3,47.4,82.5,72.6,61.2,43.8,59.0,13,29.3,8.4,53.7,3,66.4,1
78.0,86.0,76.5,73.8,66.6,77.8,61.1,78.2,74.8,4,0.2,8.5,77.0,0,88.1,2
81.1,76.0,58.9,98.3,83.7,80.7,69.8,80.3,78.6,2,1.5,13.2,66.1,1,89.2,2
17.5,60.7,60.0,61.6,45.6,31.9,51.5,67.2,49.5,4,3.0,8.2,48.8,4,44.5,0
66.5,89.1,64.3,59.6,72.2,54.9,78.6,93.2,72.3,2,0.3,12.3,58.9,2,76.5,1
42.0,63.0,59.5,75.4,53.7,70.8,53.6,44.4,57.8,4,7.6,10.4,64.7,5,59.9,0
50.7,56.3,53.0,67.4,53.3,57.1,55.9,69.5,57.9,3,-1.5,8.4,79.5,6,55.3,0
47.6,46.0,42.9,36.7,48.4,33.4,45.3,45.5,43.2,10,33.0,9.9,83.9,8,43.7,0
84.6,80.4,76.1,74.0,88.6,62.5,81.7,75.1,77.9,4,8.5,11.6,76.2,0,93.5,2
31.1,28.0,36.4,36.9,30.4,26.1,35.2,49.4,34.2,1,-3.7,11.2,78.2,8,31.2,0
52.7,31.1,69.1,24.1,53.7,30.6,45.6,27.5,41.8,5,7.8,8.3,52.3,7,38.4,0
65.7,51.6,80.7,82.6,65.3,61.8,85.0,74.3,70.9,2,-1.0,11.7,65.0,1,78.9,2
44.9,62.0,69.1,93.8,34.0,72.5,63.5,38.6,59.8,2,-2.0,10.5,40.6,3,63.5,1
95.7,90.7,90.7,95.0,73.8,77.0,72.9,88.3,85.5,2,0.2,12.6,71.7,0,100.0,2
73.6,83.0,74.0,70.3,60.3,92.5,68.0,93.4,76.9,1,-1.0,15.0,64.8,0,86.8,2
38.4,49.4,47.3,45.1,32.8,60.3,48.9,54.7,47.1,13,28.0,7.5,74.1,7,44.9,0
75.1,60.8,73.0,73.8,83.1,64.2,64.4,86.0,72.6,3,2.6,11.0,72.9,0,83.2,2
77.1,77.8,76.7,54.3,54.0,79.6,84.6,80.6,73.1,6,6.4,8.4,64.2,2,80.0,2
42.1,42.3,58.3,36.6,47.1,41.5,57.3,33.0,44.8,2,-0.7,10.3,72.9,8,38.0,0
42.0,48.1,32.9,26.5,71.4,79.2,50.2,55.0,50.7,5,4.9,8.1,46.4,6,49.7,0
35.2,26.2,18.7,48.2,29.5,31.9,51.0,47.1,36.0,3,5.5,10.9,65.1,8,33.5,0
92.8,100.0,100.0,82.9,87.0,85.7,96.9,74.3,90.0,2,-2.4,11.5,72.8,0,100.0,2
27.0,35.1,16.9,36.0,38.9,13.9,20.0,43.3,28.9,13,19.0,5.3,67.1,8,21.9,0
36.3,33.5,15.0,26.9,20.0,14.5,25.5,17.1,23.6,3,3.4,9.1,75.1,8,21.1,0
48.3,43.5,30.8,39.6,55.4,41.3,44.5,49.4,44.1,4,4.7,9.3,78.0,8,43.6,0
48.0,61.5,80.9,62.6,66.3,70.4,51.6,56.4,62.2,1,-0.3,15.0,68.4,3,69.7,1
62.9,33.1,43.9,25.5,34.4,31.7,36.7,33.5,37.7,2,-0.8,9.8,65.9,7,42.7,0
43.1,51.4,32.4,64.6,37.1,10.0,46.2,76.9,45.2,8,8.4,6.4,39.1,6,39.6,0
68.1,74.2,48.9,47.7,50.6,53.1,85.9,50.9,59.9,5,7.4,9.2,57.2,5,65.3,1
62.9,42.0,57.3,51.3,46.1,36.9,55.9,38.3,48.8,3,2.3,10.2,71.5,7,52.5,0
55.4,42.6,63.6,41.0,59.5,41.3,48.5,55.4,50.9,9,18.1,8.2,73.7,7,51.1,0
67.2,77.7,65.5,55.2,63.5,78.4,80.4,59.2,68.4,3,-0.7,9.5,71.8,2,75.7,1
15.2,44.7,39.8,50.6,61.2,24.8,49.1,44.3,41.2,3,3.7,10.5,55.9,7,29.8,0
36.7,59.9,63.5,34.6,65.9,27.1,43.6,57.4,48.6,2,2.6,12.7,55.4,6,46.3,0
46.2,39.8,42.7,41.7,31.2,14.6,36.7,29.8,35.3,4,6.9,9.6,69.8,8,34.4,0
15.5,35.8,46.3,55.1,56.0,37.6,46.8,44.2,42.2,2,0.4,11.3,61.2,8,31.0,0
52.1,33.3,58.7,47.0,72.3,22.2,62.5,55.2,50.4,2,0.5,11.5,51.7,6,45.1,0
73.7,72.0,39.6,37.1,57.5,36.2,71.2,56.3,55.4,12,30.3,9.1,51.8,5,61.6,1
71.3,67.9,66.7,79.0,73.6,51.4,53.9,60.8,65.6,1,-3.5,13.0,71.3,2,72.6,1
70.9,75.3,68.2,67.3,69.6,61.2,83.1,67.1,70.3,1,-4.8,11.9,80.5,0,85.2,2
43.4,37.5,16.8,38.3,42.2,16.0,22.8,31.5,31.1,1,-2.0,13.0,66.7,8,31.8,0
67.4,15.0,25.3,46.5,41.0,48.1,41.2,50.4,41.9,2,0.8,11.5,52.2,7,40.5,0
58.2,52.1,38.9,57.3,64.6,41.9,57.1,49.9,52.5,2,0.2,11.0,74.0,7,55.7,0
58.6,41.4,58.4,69.2,50.0,57.8,72.1,48.4,57.0,1,-3.0,13.2,69.1,6,60.4,1
75.2,56.8,79.1,89.4,83.4,53.8,81.9,58.7,72.3,3,3.8,11.8,58.7,3,78.6,2
48.7,27.0,68.3,52.4,47.2,70.2,35.0,35.5,48.0,4,6.5,9.7,53.5,6,47.7,0
38.4,20.5,44.7,25.8,47.6,21.4,42.9,28.0,33.7,5,3.6,7.3,67.2,8,30.4,0
67.3,58.2,37.2,60.1,44.4,39.3,40.9,68.9,52.0,13,43.0,9.8,61.1,5,54.4,0
54.4,41.0,45.0,52.5,35.7,49.7,72.9,27.2,47.3,4,7.4,10.1,58.9,7,47.7,0
41.8,31.2,31.4,40.9,49.8,43.2,49.8,54.5,42.8,1,-2.5,13.2,74.6,8,39.2,0
72.8,58.3,54.7,47.2,53.6,62.6,65.7,48.8,58.0,1,-4.4,12.0,73.9,5,64.1,1
51.8,44.3,72.2,63.2,51.7,45.0,52.3,67.9,56.0,6,6.5,7.9,68.7,5,55.9,0
24.9,48.9,42.9,37.7,42.3,15.4,54.4,32.0,37.3,4,1.7,7.5,61.7,8,31.4,0
23.2,41.6,16.6,21.7,20.0,10.0,20.0,25.0,22.3,1,-3.5,11.2,72.9,8,17.5,0
68.6,76.5,84.3,99.2,90.7,94.8,71.5,84.1,83.7,2,2.0,13.7,67.2,0,96.2,2
55.4,61.0,35.6,54.7,45.9,35.4,47.6,59.9,49.4,5,12.0,9.9,69.8,7,53.4,0
69.4,95.1,45.0,84.1,87.3,68.4,90.0,72.1,76.4,3,5.1,12.6,51.6,1,86.9,2
75.6,78.4,60.9,91.9,82.4,93.7,99.8,69.0,81.5,4,2.2,9.6,60.5,0,93.2,2
